ec,lex,ls,sp,pfm,vbs,vbe,nme,prs,vt,ps,nu,gn,st,form
1,"KRT[",0,1,0,0,10,0,0,2,1,3,0,-1,"KRT[NW"
2,"XTM[",0,1,1,0,1,0,0,3,2,1,2,-1,"!!XT&WM["
1,"YW>R/",0,2,-1,-1,-1,1,8,-1,-1,1,2,2,"YW>R/+H"
1,"YW/",0,2,-1,-1,-1,1,0,-1,-1,1,0,0,"YW/"
2,"<NM/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"<NM/"
1,"YPJRH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,"YPJR(H/H"
1,"PQWDJM/",0,2,-1,-1,-1,5,4,-1,-1,3,2,2,"PQ(WD(J(M/J+K"
1,"QRC/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"QRC/"
2,">RK===/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,">RK===/"
2,"SWK[",0,1,0,0,5,0,0,2,2,1,1,-1,"S(WK[T="
2,"CQT/",0,2,-1,-1,-1,6,0,-1,-1,3,1,0,"CQT/WT"
2,"GLGL=/",0,2,-1,-1,-1,1,0,-1,-1,1,2,1,"GLGL=/:c"
3,"JZRX/",0,2,-1,-1,-1,1,0,-1,-1,1,0,0,"JZRX/"
1,"CM<[",0,1,1,0,1,1,6,4,0,0,0,2,"!!CM<[/+W"
1,"<YMWN/",0,3,-1,-1,-1,7,-1,-1,-1,1,0,0,"<YMWN/~H"
1,">WLM",0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,">WLM"
2,"MDCH/",0,2,-1,-1,-1,3,3,-1,-1,1,1,2,"MDC(H/T+J"
1,"HPK[",0,1,0,0,3,0,0,2,2,1,2,-1,"HPK[T"
1,"QWL/",0,2,-1,-1,-1,1,4,-1,-1,1,2,2,"Q(WL/+K"
2,"BN/",0,2,-1,-1,-1,1,0,-1,-1,1,2,1,"BN/~W"
1,"JDH[",0,1,2,2,7,0,0,1,3,3,2,-1,"!J!](H](J&WD(H[W"
1,"RYH[",0,1,0,0,1,0,0,2,3,1,2,-1,"RYH["
1,"CWB[",0,1,1,2,1,1,0,4,0,0,0,0,"!!]H]C(W&JB[/:c"
2,"JVB[",0,1,3,2,12,0,0,1,2,1,1,-1,"!T!](H]JVB[J"
1,"XRC[",0,1,3,2,14,0,0,1,2,3,2,-1,"!T!](H]XR&JC[WN"
2,">LWH/",0,2,-1,-1,-1,1,6,-1,-1,1,2,2,">L(WH/+W"
1,"KBD==/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"KBD==/"
2,"QCH[",0,1,2,0,1,0,0,1,3,1,2,-1,"!J!QCH["
1,"FWK[",0,1,0,0,1,1,0,6,0,1,2,0,"F(WK[/"
2,"<VRWT/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"<VRWT/"
1,"CQR/",-4,2,-1,-1,-1,1,0,-1,-1,1,2,2,"CQR/:a"
2,"MKRTJ/",-2,13,-1,-1,-1,1,0,-1,-1,1,2,0,"MKRTJ/"
2,"<NH=[",0,1,7,4,1,1,0,62,0,1,2,2,"!M!<NH=[/:dua"
1,"S<R[",0,1,0,0,1,1,0,6,0,1,2,0,"S<R[/"
1,"ZBX[",0,1,5,0,18,0,0,1,1,3,0,-1,"!N!ZBX[H="
1,"NBL[",0,1,2,0,1,0,0,1,3,1,2,-1,"!J!(NB&WL["
2,"BW>[",0,1,1,0,1,1,4,4,0,0,0,2,"!!B(W>[/+K"
1,"FMLH/",0,2,-1,-1,-1,12,5,-1,-1,3,1,2,"FML(H/(WT(J+K="
1,"CB<==/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"CB<==/"
2,"NQMH/",0,2,-1,-1,-1,6,0,-1,-1,3,1,2,"NQM(H/(WT:a"
1,"Y>H/",0,2,-1,-1,-1,3,0,-1,-1,1,1,1,"Y>(H/T:c"
3,"JCM<>LJ/",-2,13,-1,-1,-1,1,0,-1,-1,1,2,0,"JCM<(>LJ/"
2,"NDD[",0,1,2,0,1,0,0,1,3,1,2,-1,"!J!(ND&WD["
2,"XLB/",0,2,-1,-1,-1,1,3,-1,-1,1,2,2,"XLB/+J"
1,"BRK/",0,2,-1,-1,-1,13,0,-1,-1,2,1,1,"BRK/J="
2,"QBY[",0,1,4,1,1,0,4,1,1,1,0,-1,"!>!QBY[~(N:d+K"
1,"JCM>/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"JCM>/"
2,"<JLM/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"<(J&WLM/"
2,"HLK[",0,1,2,0,1,0,0,1,3,1,2,-1,"!J!(HLK["
2,">RB[",0,1,2,2,1,0,0,1,3,1,2,-1,"!J!](H](>RB["
1,"ZRH[",0,1,0,1,7,0,0,2,3,3,0,-1,"ZR(H[W:d"
2,">L>/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,">L>/"
1,"XMH/",0,2,-1,-1,-1,3,0,-1,-1,1,1,1,"XM(H/T:c"
1,"RBY[",0,1,8,0,15,0,0,1,3,3,1,-1,"!T=!RBY[NH"
1,"QVWRH=/",0,3,-1,-1,-1,1,-1,-1,-1,1,1,0,"QVWRH=/"
2,"DRK[",0,1,0,2,1,0,8,2,3,1,2,-1,"]H]DR&JK[+H"
2,"RB<=/",0,2,-1,-1,-1,5,8,-1,-1,3,2,2,"RB<=/J+H"
1,"XTT[",0,1,0,0,1,0,0,2,3,1,2,-1,"XT(T["
2,"<JJM/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"<JJM/"
2,"MCL=/",0,2,-1,-1,-1,1,6,-1,-1,1,2,2,"MCL=/+W"
1,"RVC[",0,1,3,1,1,0,0,1,2,1,2,-1,"!T!RVC[:d"
2,"PTX/",0,2,-1,-1,-1,7,0,-1,-1,1,2,0,"PTX/~H"
2,"<LH/",0,2,-1,-1,-1,3,0,-1,-1,1,1,1,"<&WL(H/T:c"
2,"NJBJ/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"N(J&WBJ/"
2,"<CR[",0,1,2,2,1,0,0,1,3,1,2,-1,"!J!](H]<CR["
2,"<MD[",0,1,2,8,1,0,0,1,3,1,2,-1,"!J!](H]<MD[:u"
2,"NCK[",0,1,2,1,7,0,0,1,3,3,2,-1,"!J!NCK[W:d"
2,"QYH==/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"QYH==/:a"
2,"BDL[",0,1,1,2,1,1,0,5,0,0,0,2,"!!]H]BDL[/:a"
2,"YLX[",0,1,0,2,1,0,6,2,3,1,2,-1,"]H]YL&JX[+W"
1,"CKX[",0,1,8,0,1,0,0,1,3,1,1,-1,"!T=!CKX["
1,"QRN/",0,2,-1,-1,-1,1,5,-1,-1,1,1,2,"QRN/+K="
1,"CMJM/",0,2,-1,-1,-1,5,6,-1,-1,3,2,2,"CM(J(M/J+W"
1,"JWN/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"JWN/:a"
1,"YLX[",0,1,2,0,1,0,0,1,3,1,2,-1,"!J!YLX["
2,"QBB[",0,1,0,0,1,0,6,2,3,1,2,-1,"QB(B[+(W&H"
2,"GLH/",0,2,-1,-1,-1,1,8,-1,-1,1,1,2,"GL(H/+H"
1,">BD[",0,1,0,1,1,0,0,2,3,1,2,-1,">BD[:d"
1,"MKBR=/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"MKBR=/"
3,"<VR[",0,1,0,1,2,0,0,2,3,1,1,-1,"<VR[H:d"
2,"ML>/",0,13,-1,-1,-1,3,0,-1,-1,1,1,1,"ML>/T~J"
1,"NGD/",-3,2,-1,-1,-1,1,13,-1,-1,1,2,2,"NGD/+M"
1,"GWRL/",0,2,-1,-1,-1,1,0,-1,-1,1,2,1,"GWRL/:c"
2,"NTJB/",0,2,-1,-1,-1,1,0,-1,-1,1,2,1,"NTJB/:c"
2,"<MD[",0,1,0,2,1,0,8,2,3,1,2,-1,"]H]<MD[+H"
2,"QNH[",0,1,1,0,1,1,0,4,0,0,0,0,"!!QNH[/:c"
2,"QYT/",0,2,-1,-1,-1,3,0,-1,-1,1,1,0,"QY(T/T"
1,"BGD/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"BGD/"
2,"R<H/",0,2,-1,-1,-1,12,10,-1,-1,3,1,2,"R<(H/(WT(J+KM"
1,"CRJH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,"CRJ(H/H"
1,">HBH/",0,2,-1,-1,-1,3,4,-1,-1,1,1,2,">HB(H/T+K"
2,"BKR/",0,2,-1,-1,-1,1,3,-1,-1,1,2,2,"BK&WR/+J"
1,"NXM[",0,1,3,4,7,0,0,1,2,3,2,-1,"!T!NXM[W:du"
2,"CLK[",0,1,0,2,9,0,0,2,2,3,1,-1,"]H]CLK[TN&H"
1,"MVBX/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"MVBX/"
2,"CB<[",0,1,6,3,1,1,0,5,0,0,0,2,"!H!](N]CB<[/:a"
3,"MGDNWT/",0,2,-1,-1,-1,6,0,-1,-1,3,1,0,"MGDN(W(T/WT"
1,"<LH/",0,2,-1,-1,-1,3,6,-1,-1,1,1,2,"<&WL(H/T+W"
1,">ML[",0,1,0,4,1,0,0,2,3,1,2,-1,">ML&L[:du"
1,"KWN[",0,1,8,3,1,0,0,1,3,1,1,-1,"!T=!](N]KWN["
1,"FN>[",0,1,7,1,1,5,3,6,0,3,2,2,"!M!FN>[/J:d+(J"
2,"JQH/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"JQH/"
1,"<WLM/",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,"<(WLM/JM"
1,"NDX[",0,1,0,2,8,0,0,2,2,3,2,-1,"]H](NDX[TM"
2,"<WP[",0,1,7,1,1,1,0,6,0,1,2,0,"!M!<WP&P[/:d"
2,"LQX[",0,1,0,4,7,0,0,2,3,3,0,-1,"LQX[W:du"
1,"XYB[",0,1,0,4,8,0,0,2,2,3,2,-1,"XYB[TM:du"
2,"XV>T/",0,2,-1,-1,-1,3,0,-1,-1,1,1,2,"XV>(T/&WT:a"
2,"ZNH[",0,1,3,2,1,0,0,1,2,1,2,-1,"!T!](H]ZNH["
1,"CM<[",0,1,0,0,7,0,0,2,3,3,0,-1,"CM<[W"
1,"CJR/",0,2,-1,-1,-1,5,5,-1,-1,3,2,2,"CJR/J+K="
2,"MCC[",0,1,2,2,1,0,0,1,3,1,2,-1,"!J!](H]MC(C["
1,"KLH[",0,1,2,1,7,0,0,1,3,3,2,-1,"!J!KL(H[W:d"
2,"QBY[",0,1,8,1,1,0,13,1,3,1,1,-1,"!T=!QBY[:d+M"
1,"JD<[",0,1,0,0,1,4,0,6,0,3,2,2,"JD<[/JM"
1,">RGMN/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,">RGMN/"
2,"XLWM/",0,2,-1,-1,-1,12,10,-1,-1,3,2,2,"XL(WM/(WTJ+KM"
2,"JZN[",0,1,7,4,1,4,0,62,0,3,2,2,"!M!JZN[/JM:du"
1,"JXJD/",0,13,-1,-1,-1,2,0,-1,-1,1,1,2,"JXJD/H"
1,"NPY[",0,1,0,1,6,0,13,2,1,1,0,-1,"NPY[TJ:d+M"
1,"CBT/",0,2,-1,-1,-1,12,10,-1,-1,3,1,2,"CBT/(WTJ+KM"
2,"PTX[",0,1,1,0,12,0,0,3,2,1,1,-1,"!!PTX[J"
2,">JPH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,">(JP(H/H"
2,"MQDC/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"MQDC/:a"
1,"MYWR=/",0,2,-1,-1,-1,1,4,-1,-1,1,2,2,"MYWR=/+K"
1,"MPJM/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"MPJM/"
1,"NC>[",0,1,0,0,1,4,0,6,0,3,2,2,"NC>[/JM"
2,"JSR[",0,1,4,1,1,0,0,1,1,1,0,-1,"!>!JSR[:d"
1,"NG</",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,"NG</JM"
1,"GDWLH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,"GD(WL(H/H"
1,"JDH[",0,1,4,2,1,0,4,1,1,1,0,-1,"!>!](H](J&WD(H[+K"
2,"FJM[",0,1,2,0,7,0,7,1,3,3,2,-1,"!J!F(JM[(W+HW"
2,"QJNJ/",-2,13,-1,-1,-1,4,0,-1,-1,3,2,2,"QJN(J/JM"
1,"PGC[",0,1,0,0,7,0,0,2,3,3,0,-1,"PGC[W"
1,"BYR=[",0,1,2,3,1,0,0,1,3,1,2,-1,"!J!](N]BYR=["
2,"PL>[",0,1,0,2,1,0,0,2,3,1,2,-1,"]H]PL>["
1,"CXT[",0,1,0,1,3,0,0,2,2,1,2,-1,"CX(T[T:d"
1,"BCL[",0,1,0,1,7,0,0,2,3,3,0,-1,"BCL[W:d"
1,"MRH=/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"MRH=/"
1,"KNWR/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"KNWR/"
2,">DRT/",0,2,-1,-1,-1,3,6,-1,-1,1,1,2,">DR(T/T+W"
2,"XCB[",0,1,3,1,14,0,0,1,2,3,2,-1,"!T!XCB[WN:d"
2,"LXY[",0,1,8,3,1,0,0,1,3,1,1,-1,"!T=!](N]LXY["
2,"RNNH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,"RNN(H/H"
1,"NG<[",0,1,8,2,1,0,0,1,3,1,1,-1,"!T=!](H](NG&J<["
1,"GML[",0,1,0,0,6,0,0,2,1,1,0,-1,"GML[TJ"
1,"C>L[",0,1,0,0,1,1,0,6,0,1,2,0,"C>L[/"
1,"NWH=/",0,2,-1,-1,-1,3,0,-1,-1,1,1,1,"NW(H=/T:c"
1,"<YM[",0,1,0,0,1,0,0,2,3,1,2,-1,"<YM["
1,"XBC[",0,1,2,0,1,0,0,1,3,1,2,-1,"!J!XBC["
1,"QYWT/",0,2,-1,-1,-1,6,13,-1,-1,3,1,2,"QY(W(T/WT+M"
2,"MCX[",0,1,1,0,1,1,0,5,0,0,0,2,"!!MC&WX[/:a"
1,"MCPV/",0,2,-1,-1,-1,5,0,-1,-1,3,2,1,"MCPV/J"
2,"LWBJ/",-2,13,-1,-1,-1,4,0,-1,-1,3,2,2,"L(WB(J/JM"
2,"LHV[",0,1,0,0,1,1,0,6,0,1,2,0,"LHV[/"
2,"RP>[",0,1,2,1,1,0,0,1,3,1,2,-1,"!J!RP>[:d"
1,"PLX[",0,1,8,1,15,0,0,1,3,3,1,-1,"!T=!PLX[NH:d"
2,"CMR[",0,1,1,0,1,1,0,4,0,0,0,0,"!!CM&WR[/:c"
1,"GBWRH/",0,2,-1,-1,-1,3,5,-1,-1,1,1,2,"GBWR(H/T+K="
1,"NCQ[",0,1,2,0,1,0,7,1,3,1,2,-1,"!J!(NCQ[+HW"
1,"XMS/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"XMS/:a"
2,"CLM[",0,1,0,1,8,0,0,2,2,3,2,-1,"CLM[TM:d"
2,"JSD[",0,1,1,0,1,1,0,4,0,0,0,0,"!!JS&WD[/:c"
3,"LBNWN/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"LBNWN/"
2,"YWD[",0,1,0,0,1,1,0,6,0,1,2,0,"Y(WD[/"
2,"FRP[",0,1,0,0,2,0,13,2,3,1,1,-1,"FRP[(H&T+M"
1,"KWKB/",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,"KWKB/JM"
2,"NTN[",0,1,6,3,1,1,0,5,0,0,0,2,"!H!](N]NTN[/:a"
2,"L",0,5,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,"L+J"
2,"XMWR/",0,2,-1,-1,-1,1,0,-1,-1,1,0,0,"XM(WR/"
1,"<FH[",0,1,0,0,1,5,12,6,0,3,2,2,"<F(H[/J+HM"
2,"MPX=/",0,2,-1,-1,-1,1,0,-1,-1,1,2,1,"MPX=/:c"
2,"MCGH/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"MCGH/:a"
2,"MNH[",0,1,0,1,7,0,0,2,3,3,0,-1,"MN(H[W:d"
2,">XR[",0,1,7,1,1,5,0,6,0,3,2,1,"!M!>XR[/J:d"
2,"XWL[",0,1,1,0,1,1,0,4,0,0,0,0,"!!XWL[/:c"
2,"XJH[",0,1,1,2,7,0,0,3,2,3,2,-1,"!!]H]XJ(H[W"
2,"XWL[",0,1,7,1,1,6,0,6,0,3,1,0,"!M!X(WL&L[/WT:d"
1,"CQR/",-4,2,-1,-1,-1,1,0,-1,-1,1,2,0,"CQR/"
1,"MNH[",0,1,3,0,1,0,0,1,2,1,2,-1,"!T!MNH["
2,"<WH[",0,1,0,3,6,0,0,2,1,1,0,-1,"]N]<W(H&J[TJ"
2,"NFG[",0,1,2,2,1,0,13,1,3,1,2,-1,"!J!](H](NFG[+M"
1,">KL[",0,1,2,0,7,0,8,1,3,3,2,-1,"!J!>KL[W+H"
2,"BZH[",0,1,0,0,1,1,7,6,0,1,2,2,"B&WZ(H[/+HW"
1,"<CN=/",0,13,-1,-1,-1,1,0,-1,-1,1,2,2,"<CN=/:a"
2,"LMD[",0,1,4,1,18,0,0,1,1,1,0,-1,"!>!LMD[H=:d"
2,"CB<H/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"CB<H/"
2,"<BT/",0,2,-1,-1,-1,1,0,-1,-1,1,0,0,"<B&WT/"
1,">L",0,5,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,">L&J"
2,"CNH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,"CN(H/H"
3,"MJP<T/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"M(J&WP<T/"
2,"LMD/",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,"LM&WD/JM"
1,"CTH[",0,1,2,0,1,0,0,1,3,1,2,-1,"!J!CT(H["
2,"<JN/",0,2,-1,-1,-1,1,3,-1,-1,1,1,2,"<(J&WN/+J"
1,"XTN[",0,1,1,6,1,0,0,3,2,1,2,-1,"!!]HT]XTN["
1,"D>H/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,"D>(H/H"
1,"PR/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"PR/:a"
1,"YLM/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"YLM/"
2,"JMM/",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,"JM(M/(JM"
1,">RG[",0,1,0,0,1,6,0,6,0,3,1,0,">RG[/WT"
2,"JBC[",0,1,1,0,1,3,0,4,0,0,0,0,"!!JBC[/T"
2,"NTQ[",0,1,1,2,1,0,13,3,2,1,2,-1,"!!]H](NTQ[+M"
1,"MJM/",0,2,-1,-1,-1,5,8,-1,-1,3,2,2,"MJM/J+H"
2,">CR[",0,1,3,1,1,0,0,1,2,1,2,-1,"!T!>CR[:d"
3,"PG<[",0,1,2,0,1,0,9,1,3,1,2,-1,"!J!PG<[+NW"
2,"RQB/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"RQB/:a"
2,"CWB[",0,1,3,2,1,0,2,1,2,1,2,-1,"!T!](H]C(WB[+NJ"
2,">CT>L/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,">CT>&WL/"
1,"RMS[",0,1,2,0,1,0,8,1,3,1,2,-1,"!J!RMS[~N+H"
2,"CJR[",0,1,7,1,1,1,0,6,0,1,2,0,"!M!C(J&WR&R[/:d"
2,"PXD/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"PXD/"
2,"NG<[",0,1,8,2,1,0,0,1,3,1,1,-1,"!T=!](H](NG<["
2,"BW>[",0,1,0,2,3,0,8,2,2,1,2,-1,"]H]B(W>[T+H"
2,"GBH/",0,13,-1,-1,-1,1,0,-1,-1,1,2,2,"GBH/:a"
2,"PSL[",0,1,0,0,1,0,6,2,3,1,2,-1,"PSL[+W"
1,"ZR<[",0,1,0,0,1,1,0,6,0,1,2,0,"ZR<[/"
1,"TMJM/",0,13,-1,-1,-1,1,0,-1,-1,1,2,1,"TMJM/:c"
2,"M>H/",-1,2,-1,-1,-1,6,0,-1,-1,3,1,2,"M>(H/(WT:a"
1,"QDMWN/",0,13,-1,-1,-1,2,0,-1,-1,1,1,2,"QDMWN/H"
1,"KNP/",0,2,-1,-1,-1,13,6,-1,-1,2,1,2,"KNP/J=+W"
1,"XZH[",0,1,8,0,15,0,0,1,3,3,1,-1,"!T=!XZ(H&J[NH"
2,">RB=/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,">RB=/:a"
2,"CQR[",0,1,0,1,10,0,0,2,1,3,0,-1,"CQR[NW:d"
2,"XBL[",0,1,0,0,1,1,0,6,0,1,2,0,"XBL[/"
2,"JVB[",0,1,7,2,1,5,0,6,0,3,2,1,"!M!](H]JVB[/J"
1,"MW<DJH/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"MW<DJH/"
2,"XNN[",0,1,1,0,1,1,8,4,0,0,0,2,"!!XNN[/+H"
2,"ZQN==/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"ZQN==/"
1,"BT/",0,2,-1,-1,-1,12,5,-1,-1,3,1,2,"B(T&N/WTJ+K="
1,"XLC[",0,1,2,0,1,0,0,1,3,1,2,-1,"!J!XLC["
2,"MQX/",0,2,-1,-1,-1,1,0,-1,-1,1,2,1,"MQX/:c"
3,"LHVJM/",0,2,-1,-1,-1,5,12,-1,-1,3,2,2,"LHV(J(M/J+HM"
3,"FRG[",0,1,2,6,7,0,0,1,3,3,2,-1,"!J!](H(T&F](F&TRG[W"
2,"QWM[",0,1,0,1,7,0,0,2,3,3,0,-1,"Q(W&JM[W:d"
2,"NTC[",0,1,1,0,1,1,3,4,0,0,0,2,"!!NTC[/+J"
1,"NKH[",0,1,1,2,7,0,0,3,2,3,2,-1,"!!]H](NK(H[W"
1,">RMWN/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,">RMWN/"
2,"<BD/",0,2,-1,-1,-1,1,4,-1,-1,1,2,2,"<BD/+(K&W"
1,"MLX=/",0,2,-1,-1,-1,5,12,-1,-1,3,2,2,"MLX=/J+HM"
1,"ZBX=/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"ZBX=/"
1,"CWB[",0,1,0,2,6,0,13,2,1,1,0,-1,"]H]C(WB[TJ+M"
1,"JCR=/",0,2,-1,-1,-1,1,6,-1,-1,1,2,2,"JCR=/+W"
1,"SPR=/",0,2,-1,-1,-1,5,0,-1,-1,3,2,1,"SPR=/J"
1,"KP/",0,2,-1,-1,-1,6,0,-1,-1,3,1,0,"KP/(WT"
1,"<J=/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"<J=/"
2,"LQX/",0,2,-1,-1,-1,1,8,-1,-1,1,2,2,"LQX/+H"
1,"R>WH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,"R>W(H/H"
1,"<NJH/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"<NJH/"
1,">JPH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,">JP(H/H"
2,"DLQ[",0,1,0,0,7,0,9,2,3,3,0,-1,"DLQ[(W+NW"
1,"BW>[",0,1,1,0,1,1,6,4,0,0,0,2,"!!BW>[/+W"
1,"BT/",0,2,-1,-1,-1,3,3,-1,-1,1,1,2,"B(T/T+J"
2,"<NH=[",0,1,0,4,6,0,0,2,1,1,0,-1,"<N(H&J=[TJ:du"
2,"BLJ<L/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"BLJ<L/:a"
1,"CJR[",0,1,2,0,1,0,0,1,3,1,2,-1,"!J!CJR["
1,"MXML/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"MXML/"
1,"BYJR/",0,2,-1,-1,-1,1,0,-1,-1,1,2,1,"BYJR/:c"
2,"HMWN/",0,2,-1,-1,-1,1,6,-1,-1,1,2,2,"HMWN/+(W&H"
1,"R<<[",0,1,2,2,1,0,0,1,3,1,2,-1,"!J!](H]R<(<["
1,"TWK/",0,2,-1,-1,-1,1,4,-1,-1,1,2,2,"TWK/+K"
1,"YJWN=/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"YJWN=/"
2,"XNN[",0,1,1,0,7,0,2,3,2,3,2,-1,"!!XN(N[(W+NJ"
1,"MF>=/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"MF>=/"
2,"MWV[",0,1,0,0,7,0,0,2,3,3,0,-1,"M(WV[W"
1,"JNQ[",0,1,8,2,1,0,0,1,3,1,1,-1,"!T=!](H]JNQ["
2,"ZNB/",0,2,-1,-1,-1,6,0,-1,-1,3,2,1,"ZNB/WT:c"
2,"MHR=[",0,1,0,0,7,0,0,2,3,3,0,-1,"MHR=[W"
1,"CNH=/",0,2,-1,-1,-1,3,6,-1,-1,1,1,2,"CN(H=/T+W"
2,"<CR[",0,1,0,2,5,0,0,2,2,1,1,-1,"]H]<CR[T="
3,"CRCRH/",0,2,-1,-1,-1,6,0,-1,-1,3,1,0,"CRCR(H/WT"
1,"QRJH/",0,2,-1,-1,-1,6,0,-1,-1,3,1,0,"QRJ(H/WT"
2,"JC<[",0,1,7,2,1,1,3,6,0,1,2,2,"!M!](H](JC<[/+J"
1,"JCB[",0,1,1,0,1,3,3,4,0,0,0,2,"!!(JCB[/T+J"
1,"ZKR[",0,1,2,3,7,0,0,1,3,3,2,-1,"!J!](N]ZKR[W"
1,"BVX[",0,1,1,0,1,1,0,4,0,0,0,0,"!!BVX[/:c"
1,"TCWBH/",0,2,-1,-1,-1,3,0,-1,-1,1,1,1,"TCWB(H/T:c"
2,"FGB[",0,1,3,1,1,0,2,1,2,1,2,-1,"!T!FGB[:d+NJ"
1,"J<LM/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"J<LM/"
1,"DBQ[",0,1,3,0,7,0,0,1,2,3,2,-1,"!T!DBQ[W"
1,"JQVN/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"JQVN/"
2,"TWLDWT/",0,2,-1,-1,-1,6,0,-1,-1,3,1,0,"T(WLD(W(T/WT"
2,"TQWH==/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"TQWH==/"
2,"JDDWT/",0,2,-1,-1,-1,1,0,-1,-1,1,1,0,"JDDWT/"
2,"CXX[",0,1,0,0,6,0,0,2,1,1,0,-1,"CX(X[&WTJ"
2,"NDD[",0,1,2,2,7,0,7,1,3,3,2,-1,"!J!](H]ND(D[(W+HW"
2,"DWD=/",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,"DWD=/JM"
1,"JRD[",0,1,1,0,1,3,6,4,0,0,0,2,"!!(JRD[/T+W"
1,"TXNWN/",0,2,-1,-1,-1,5,0,-1,-1,3,2,1,"TXNWN/J"
1,"<NB/",0,2,-1,-1,-1,5,14,-1,-1,3,2,2,"<NB/(J+MW"
2,"VWBH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,"VWB(H/H"
1,"G>L[",0,1,0,0,1,1,5,6,0,1,2,2,"G>L[/+K="
1,"JC</",0,2,-1,-1,-1,1,6,-1,-1,1,2,2,"JC</+W"
2,">FR>LH/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,">FR>LH/"
2,"TPF[",0,1,1,0,7,0,7,3,2,3,2,-1,"!!TPF[W+HW"
1,"JWNH/",0,2,-1,-1,-1,2,0,-1,-1,1,1,2,"JWN(H/H"
1,"KRT[",0,1,1,0,7,0,0,3,2,3,2,-1,"!!KRT[W"
2,"QW/",0,2,-1,-1,-1,1,0,-1,-1,1,2,1,"QW/:c"
1,"RPH[",0,1,4,2,1,0,4,1,1,1,0,-1,"!>!](H]RP(H[+K"
